epoch,training_accuracy,validation_accuracy,training_loss,validation_loss
0,0.63,0.67,0.63,0.57
1,0.78,0.79,0.535,0.506
2,0.79,0.76,0.488,0.47
3,0.81,0.83,0.468,0.442
4,0.815,0.83,0.448,0.427
5,0.818,0.859,0.423,0.4
6,0.834,0.843,0.4,0.365
7,0.86,0.88,0.378,0.338
8,0.86,0.848,0.353,0.32
9,0.87,0.88,0.34,0.31
